text,label
احسسان,0
سیکینه,1
مناره,1
فاطفه,1
بیوگ,1
انشاءالله,0
دضا,0
انشا اله,0
پاریس,1
شیرو,0
عود علی,0
غلام یحیی,0
عبدوالکریم,0
بی بی صافیه,1
لیا,1
صیاد علی,0
محمد ریاح,0
علی نازار,0
زحمان,0
علی یونس,0
مله تاج,1
سخاوتعلی,0
عباسعتی,0
مهذی,0
صایاد,0
بالوتا,1
حسناء,1
منظر بانو,1
اغابی,0
صورتعلی,0
بخش الله,0
شا میرزا,0
نازپرور,1
گلشا,1
کیوان,0
سعیدصالح,0
ابراهیم هاتف,0
سجانقلی,0
خاص طلا,1
دسول,0
ملک سلطان,0
فرصتعلی,0
هومایون,0
کاکاجان,0
میر عبدااله,0
ثناء,1
عفت	ال,1
سیمن,1
بسته نساء,1
حرم,0
روبن,0
ندا بخش,1
پرویوش,1
خضراله,0
یسری,0
نصرت ال,0
نعجیبه,0
رقابت,0
مه اسا,1
منو چهر,0
عبدلطاهر,0
فاطمه بی بی,1
وهبی,0
ممحمود,0
عبدالطیف,0
اقلیما,1
احود,0
یمن,1
اوش,0
کبر ی,1
کابل,0
غلام اصغر,0
سو دابه,1
آدینه بی بی,1
امینه آغا,0
سودملی,0
فهمیده,0
فیض اللله,0
نستر ن,1
زاده گل بهار,0
دل ارام,1
ساکت,0
ملک منظر,0
هییت,0
فرخ لقاء,0
عبد المطلب,0
عبدل کریم,0
غلی رضا,0
نادراقا,0
ریا,0
دانیار,0
شهاب,0
منیو,1
محترمه,1
عطار,0
رحیمی,0
ابوطاب,0
اگرین,0
الله ورد,0
سلبی,1
میرلطیف,0
هنانه,0
فغان علی,0
بلورخانم,0
وریا,0
بدر,0
زورار,1
میر ادریس,0
اقاخان,0
ماه منیز,1
حناره,1
تایمز,0
زمان,1
انه جان,1
سیاداله,0
سمن گل,1
چقو,0
قمرجهان,1
سحراب,0
پیام الدین,0
شهلا خانم,1
دهلول,0
هوشمند,0
خمسعلی,0
قلچ تقان,0
اپرین,0
میرمحمدتقی,0
مستعلی,0
رنان,0
تاشلی,0
پیر علی,0
ماه سلطان,1
کتان,0
خضران,0
شیروس,0
صد یقه,0
حبیبی الله,0
مطیع اله,0
شاه دخت,1
پیرجلال,0
اشزف,1
حمیزه,0
اسخق,0
عیی رضا,0
مدیری,0
همیرا,1
تواق قلی,0
غلام جیلالی,0
خانم بهنام,1
سفی الله,0
جعفر بگ,0
رافاییل,0
گلبرار,1
مزبان,0
سبزوار,0
گلیار,1
محمدرفیق,0
خادم علی,0
علیداد,0
مقتدی,0
لینا,1
واثق,0
آنتونیو,0
ها د ی,0
خوریه,1
بهبودعلی,0
ادل,1
مژ گان,1
اطفه,0
بسین,0
سمیر,0
سقا,0
تلی بیگم,0
فرح گل,1
شاهد عباس,0
محقق,0
دولت مراد,0
سجا د,0
ایمانوردی,0
عبدالخنان,0
راعلی,0
شهرم,0
مرادبخش,0
رسام,0
حاج غلام,0
آنیلا,1
عمه نساء,1
هوشین,0
عبدالجلیل,0
زبداشوری,0
بلن,0
دهقان,0
کامان,0
رقیه بیگم,1
گمانعلی,0
عکاشه,0
بی بی آتنا,1
سمیران,0
نارمک رضا,0
کاوان,0
مطیر,0
پیروزان,0
سراج الله,0
ایساق,0
طهورپ,0
بکشاد,0
کرم حسین,0
عل اکبر,0
بیانعلی,0
جسته,0
شاه گل,0
شابور,0
امیر اصغر,0
مولامراد,0
میلا,0
عطا قلی,0
سعید بی بی,0
داداش,0
یابر,0
مشکعلی,0
مجتلبی,0
محمد مسلم,0
حاجت,1
کیاندخت,1
نیمات,1
الیاث,0
محمدد حسن,0
عفتبیگم,1
محمد پاشا,0
فخیمه,1
میاس,0
شیرین خانم,1
امیرنیما,0
ماه نسای,1
فربیرز,0
ایرن,1
خدبجه,1
بهرام بیکه,0
میر کریم,0
جبریه,1
سپهدار,0
خا طره,1
صفوری,1
نینوش,1
محمد بابک,0
اقااحمد,0
ماهنساء,1
شرف ال,0
دورنا,1
شادالله,0
لطفی علی,0
کبدا,1
مریم اعظم,1
غردین,0
ماه طلاء,1
بگلر,0
افتر,1
ایشان قلی,0
میره,1
سروناز,1
نزیمان,0
اختر خانم,1
صابر علی,0
بی بی خانم,1
گزگید,1
حاج رمضان,0
واد,0
حمشت,0
مهرالله,0
حاج حسن,0
گارداش خان,0
اوریا,0
ایران بانو,1
زضا,0
جوان میر,0
زعفران,1
مهنوش,1
پدارام,0
طرخان,0
ملاندر,0
ماهرخ,1
حالد,0
عبدالجلبل,0
ترشید وحدت,0
فاطمه سعادت,1
محکومه,1
عبدولباسط,0
انام الله,1
خانمحمد,1
ژهره ور,1
ایوا,1
قیم,0
سیف	اله,0
ستا ر,0
اقل بابک,0
نقیده,1
نگین,1
سوزی,1
غزیزاله,0
نور تاج,1
سایب,0
جمعه کل,1
ولی لله,0
ماردین,1
مرصع,0
حیدر,0
بی بی شریفه,1
تینوش,1
جهانشاه,0
ایلامان,0
کیاالدین,0
عبدول رحمان,0
شهدخت,1
اسری,1
سوسن گل,1
ساراء,1
حوری بیگم,1
گل صباح,1
زینبه,1
مغرب,0
فراهاد,0
ایرج دخت,1
فروغه,1
مانلی,1
صابرین,0
مهدیه ال,1
گوهرشاد,1
ابوتراب,0
علی ماشاءالله,0
آذر نوش,1
عبدالرهرا,0
قاسیم,0
تبسم,1
قز قید,1
ابوالحجن,0
زرمیک,0
سعیدن,1
تعارفعلی,0
مه,0
محمداسمعیل,0
سعید رصا,0
صیف اله,0
ادوان,0
وحیدبخش,0
اباسعد,0
رابرت,0
عبد الجلال,0
رفعین,0
الفت,0
التنا,0
وجیحه,1
برکت,1
نقش علی,0
عا لیه,1
جهان بخش,0
سیف اله,0
میریعقوب,0
نجفعلی,0
ساره,1
محمد سخی,0
محمد پویا,0
راحاه,0
داوید,0
صنورا,1
پروین ال,1
حسنمراد,0
امان نظر,0
کوهعلی,0
عبد الوهاب,0
علی افسر,0
علی قدیر,0
کیوا,0
الهه ال,1
کوروس,0
یریسا,1
آغا,0
ابوالقالسم,0
زهراسلطان,1
روزانا,1
نوریاقدی,0
پگاه,1
شفای الدین,0
محمداسحاق,0
سرنا,1
گل انبر,1
بوزلی,0
دوود,0
دلشاد,1
گل بهار,1
شیلانه,1
امین سالار,0
پغمبر,0
طا هر,0
غلام سرور,0
نوبرعلی,1
بوران,0
خضرالله,0
ذهب,0
خدرعلی,0
مبشر,0
سنا,1
عبدل حمان,0
ثابر,0
عج الله,0
فرحمند,1
شیر خدا,0
مجمد رضا,0
جورا,0
بهنود,0
مانگور,1
حالت قربان,0
رجب دردی,0
میرجمال,0
عقت ال,1
شاهپور رضا,0
ایدا,1
بنیه اقا,0
محمد ر سو ل,0
امام قلی,0
قشون,0
صفه,1
خدا رحم,0
عبای علی,0
یسرا,0
یدااه,0
الالیا,0
اغول بک,1
بهمتن,0
مقبول,0
عبداحکیم,0
کنتو,0
فرماد,0
نورکرم,0
زایا,1
بگعلی,0
قبله قلی,0
غلام محمد,0
تاریویردی,1
زلفی ناز,1
سغد,0
میر یوسف,0
پورجم,0
سوریه,1
حاجی احمد,0
صهیب,0
هحمد,0
شرفه,0
بدر منیر,1
کریمعلی,0
معصمه,1
عذرا,1
خباز,0
الهویرردی,0
عل ی,0
امیرضا,0
انااراز,1
دعلی اصغر,0
طاها,0
مسودی,0
غریب ناز,0
بی بی هاجر,1
مهىی,0
وسط,0
گل خاتی,1
حبیب محمد,0
ساتلیق قلیچ,0
جمشیده,1
خانمراد,1
حیات خانم,1
گلاویژه,1
نوریاغدی,0
صوفیه,1
رزگار,0
فرصت,1
قوجق قلی,0
نو ذر,0
زر نشان,1
ماشاأاله,0
مرصع بیگم,1
صیف اللهه,0
پسند,1
یوسفعلی,0
راغب,0
سردارعلی,0
صفیهه,1
لیمو,1
سیلماز,1
سالور,0
ایا سلط,0
ضامن,0
قنیه,0
بابانظر,0
بایری,0
عوض قاری,0
باسمه,1
محمد زهیر,0
بها،,1
نظرقلی,0
وجیهه السلطان,0
ابدالحسن,0
سیرمی,0
قاسم آقا,0
بید حیدر,0
سیف الدین,0
سعیدا,0
شدی,0
عبدالحمن,0
فرشیده,1
مرواری,1
ر وزعلی,0
عزیزبگ,0
پزشک دخت,1
رزیج,0
اعضم,1
میر قدیر,0
حامدرضا,0
لبولفضل,0
مشتاق,0
غلام فاروق,0
بی بی عاسیه,1
کوشان,0
یقوب,0
زهرابیگم,1
سا سان,0
نپتون دخت,1
مزتضی,0
صباح,1
شاهبختی,0
محمد اقا,0
بایران,0
بهاور,0
محمدقاسم,0
امیر نصیر,0
بهار علی,1
طهماسبی,0
بمانه,1
محمدزاهد,0
فرح نوش,1
جان اله,0
جعفر علی,0
یوسوف,0
بعقوب,0
عافت,1
ماهت,1
خانم نه نه,1
میر پویا,0
حجن الله,0
آتابلی,0
آقامراد,0
باک,0
ایض گل,1
بانو نویری,1
وحیدالله,0
فرهنگدخت,1
میرمقصود,0
لادن ال,1
شرافتت,1
باز محمد,0
حاصل,0
بهره علی,0
کاس,0
محمدرصا,0
میرانا,0
سهیه,1
علی یان,0
نرمین,1
برنادت لازر,0
قمررخ,1
ثمرقند,1
فاطم ه,0
سپید,1
اهدیه,1
دنیز,1
فاروغ,0
باهره,0
توراب,0
میر شجاع,0
تقانقلی,0
جهانتاج,1
عبدالامید,0
نظیر احمد,0
محمد دین,0
جوریه,0
کیدی,0
شیزاد,0
صنعان,0
یشما,0
شکوه,1
زکی اله,0
الله یار,0
ماهیدان,1
توکز,0
دولت نساء,1
علی حیدر,0
ساعه,1
قوزیه,1
رمینه,0
ابراسیم,0
عا لم,0
پیغمبرقلی,0
عبداخضر,0
ابرهیم اژدر,0
هنیس,1
اشمل,0
مکرمه,1
مریوان,0
محبوه,1
خدافراست,0
شراصلان,0
تاهمه,1
خانم شمسی,1
ابرایم,0
میدانعلی,0
محمد رحیم,0
پاپی حسن,0
صادقی,0
علی الدین,0
ببک,0
حاجت مراد,0
پناه,0
مهی,0
میرکاظم,0
امبن,0
بدر ال,0
میر مسیح,0
حبیب احمد,0
سردار علی,0
عرازقربان,0
قرزانه,1
علوی,0
بابا اله,0
عبد الملوک,0
زبیده خاتون,1
نوریه,1
شهریور,0
علیرا ضا,0
ساراله,0
هدی ال,0
دوله,0
کاکیوشا,0
عاشورتاج,1
کرج,0
محمدشفیق,0
اعلاالدین,0
انه بای,1
مهرابعلی,0
قهرمان,0
خادر,0
زکی,0
بابک,0
مینگله,1
عزیزاله,0
مهتا,1
سنگین,0
ضیغم,0
نورشاد,0
شمی اله,0
لایا,1
کویر,1
فراق,0
آقاعلی,0
بی بی جان,1
حقویردی,0
حجتاله,0
مهرو,1
سبحا ن وردی,0
بنت عمیس ال,1
علی	بخش,0
الله شتر,0
نجمه الصبا,1
مرتبه,0
احمد علی,0
نجاح,0
جلوه,1
اسما ال,0
قربان طاغن,0
رحیم بخش,0
مرادقی,0
شکور,0
حدبث,1
اغا رحیم,0
حسینم,0
ولی اله,0
زینب السادت,1
سهل الدین,0
سرمه,1
میرساری,0
کارمن,0
قدیراله,0
حسین,0
اسمعلی,0
توید,0
میرداود,0
تاهید,1
عظم ال,1
برهان الحق,0
طویجان,0
حاجی محمد حسن,0
فر حناز,1
سبف الله,0
دلارا,1
بی بی حسل,1
هادی غازی,0
سبنم,1
محمدغدیر,0
فضاییل,0
حیات اله,0
طارق,0
عذار,0
خافیه,0
اقل دولت,1
اقدس ملوک,1
بیرام بردی,0
جعفر کاظم,0
دونیا,0
در سلطان,1
محمدحسام الدین,0
عراز حمد,1
قندی گل,0
خشیار,0
عوض مراد,0
مهوچهر,0
قرزاد,0
التفاد,0
فادیا,0
بساط بگ,0
قلسم,0
آذر,1
ببهبود,0
عیشغلی,0
علی کامران,0
بهناز,1
صغزی,1
محمدجمشید,0
روشن,0
احسان الله,0
معصوه,1
وانیک,0
صلاتین,0
لطیف خانم,1
هود,0
حسیب,0
بابا حسن,0
زلمه,1
ابا,0
امان علی,0
عبدالکادر,0
اسحا,0
فاطمه گل,1
رایین,0
ثنااله,1
مدنیه,1
خانم ایمان,1
پیغمبر,0
قدسی,1
علی رحم,0
خطیمه,0
ابا صلت,0
یده نعیمه,0
ظفره,1
تخته,1
لسان اله,0
حاج قربان,0
جدال,0
اللهیار,0
شیخ حسن,0
عبداقیوم,0
جماییل,0
بیربخش,0
مولام دوردی,0
بی بی حنیفه,1
مژده,1
اویس,0
طوس,1
امان بردی,0
انسه,1
عذری,1
محلا,1
سنبله,1
عایش,1
عطریه,1
علی لکبر,0
بابه غنی,0
کسمراد,0
فهم الدین,0
کوچک,0
بلود,0
خاص علی,0
کروش,0
میرداماد,0
گلنساء,1
جمیران,1
حسین ناصر,0
گل خندان,1
قادر قادر,0
قز بست,0
کاروان,0
موسسه,1
شبنم,1
هرا,0
رویدا,1
آرمیتی,0
ضیا علی,0
بروج علی,0
لیای,1
مبلاد,0
سیمبن,1
جدیجه,1
اکرم علی,0
سامین,0
فضیله,1
ساناز,1
نورمراد,0
خوشروز,1
حضرت کوی,1
سیانوش,0
معظم اله,0
زضا کرم,0
حاجعلی,0
رضی الله,0
خذر,0
فلکناز,0
شهر,0
مرتض,0
تیا,1
سایینا,0
قتور,0
عبدانعیم,0
عزت الملوک,1
قبلعی,0
صلدق,0
کک لیک,0
پوریان,0
بهدیس,0
حبییب اله,0
جان میرء,0
غلام جیلانی,0
ببر علی,0
نازگل,1
لی,0
مرسا,0
جونعلی,0
عبذالله,0
صفوره,1
سیب,1
حمد تقی,0
خدا کر م,0
شمسا,0
ماشااله,0
صید نظر,0
صید سالار,0
نفرت,0
سهیلاال,1
دلیقان,0
مهراصغر,0
وردی,0
حیات قلی,0
گلپسند,1
عیو ضی,0
افرو,1
حمراء,1
جهانیار,0
حانیه,1
شعمی,0
نوراقا,0
حسین هادی,0
حنیف,0
زیینب,1
بی بی,1
روشن فکر,0
شلش,0
ریحان الله,0
رحام,0
موحد,0
ماه زنان,1
عبدالرضا,0
خانم بالا,1
انس اله,0
شاو زنان,1
صفیه بیگم,1
نفسیه,1
فلاح,0
عایدین,0
داور خواه,0
ارازصنم,1
عبدالشریف,0
فرحندوخت,1
ضیاء اله,0
نلیحه,1
سریحه,0
محیات,0
اسرف ال,0
نورنیا,1
مهرا,0
امام داد,0
شاه محمود,0
چوبان,0
رحمت اللله,0
نورالمهدی,0
ناهده,1
انور محمد,0
ناظر علی,0
میرهادی,0
رحمن خدا,0
علی ایوب,0
سیفعلی,0
عطا الاه,0
معین شاه,0
محمد مجتبی,0
ماه منظر,1
صفیر,0
علی امید,0
طلال,0
صلح,0
مرشیه,1
ضیا گل,1
حاجت علی,0
صغری محمد,1
مهشا,1
یر مهدی,0
کورج,0
عبدی محمد,0
شمشیر,0
قمر گل,1
طهورث,0
محمد جان,0
عایشه گل,1
روفیده,0
شب بو,1
انشاالله,0
سرین,0
لیلوه,1
صیام,0
عبدالالله,0
مرسان,0
کوهر,1
لیادخت,1
اهین,1
شاعف,0
محمدمهرداد,0
کیوا ن,0
منتظر,0
ماجین,1
خجیج,1
میر یاسر,0
امیر شروین,0
میر مختار,0
سانوس,0
معید,0
شهرت,1
امین ا,0
منصومه,0
تمحمد,0
یعقو ب,0
زارع,0
اسکناس,0
ادونیا,0
حامد حسین,0
صمدد,0
محمدجزاء,0
مخلوقه,1
ترلان,1
محراج,0
شیان,0
ازبو,0
صداق,0
ماهتابه,1
فضل الدین,0
میرآرمین,0
صبح خانوم,1
ادق,0
مکاییل,0
محنمد,0
داوودمراد,0
شهر یار,0
مشانعلی,0
عیاز,0
آنابی بی,1
علی مختار,0
شکوره,1
افتحاج,1
الهویردی,0
رهبر علی,0
هرانوش,1
هوری نساء,0
سرتیپ,0
ژاکاو,0
عظری,1
ایرج,0
هزاره,0
بازیده,0
کینه,1
صیدعلی,0
ایوان,0
علیباکبر,0
سهد,0
سومیتا,0
اغول جمال,1
نصر اله,0
فریدالدین,0
مهکام,0
عبد المحسن,0
فاطمه کبری,1
دندان,0
هومانگیو,0
محمد سحاب,0
لعیا ال,1
زرقان,0
واحده,0
میر کیانوش,0
یوسف جلال,0
اصغر,0
محمدقلیچ,0
سپیده مهتاب,1
صفی,1
محدحسین,0
بهاریه,1
عبذالحسین,0
عبدالمحممد,0
آرزش,0
عبد الحمید,0
عبدالصباح,0
عتابک,0
جوهر علی,0
اناری,1
چراقعلی,0
آق ایلی,0
فتحلعلی,0
میرحمید,0
بهاره,1
سونبات,1
عبدالرحیم,0
لزمان,0
امیر فخرالدین,0
گلابتین,1
لطف	اله,0
رفیعی,0
عبدالاه,0
امیراسکندر,0
راصیه,1
حسیبن,0
سیمین علویه,1
چالاک,0
امیر اعلا,0
سنار,1
بهدخت,0
عبدارضا,0
عشور,0
بروجعلی,0
آقا گل,0
میرزابالا,0
رینام,1
قادیر محمد,0
سهعید,0
علیپور,0
کاکا,0
داماد,0
شاپور,0
خدمت الله,0
ذبیر,0
دکتر,0
بیگ مراد,0
امیمه,0
محمد مرا د,0
عطاءالته,0
ایمانا,0
مهلاء,1
خرزانه,0
عاشر سلطان,1
بی بی تکتم,1
فرحان,0
حمید کاوه,0
مطانات,0
فاظمه,1
اختر جان,1
شهذبانو,1
شیون,1
محمدشفیع,0
اله یار,0
بی بی سپت,1
سنای,1
مهرپرور,0
مهدا,1
غتام,0
خلیل پاشا,0
پریرو,1
آوات,1
سبحان ویردی,0
حامد چ,0
غلالم رضا,0
امیرشهاب,0
جمیار,0
سارونا,1
متضی,0
فدا حسین,0
طار,1
هو من,0
اورنگ,0
اقایر,0
حفیض اله,0
اورینب,1
میرزاد,0
پوری,0
محرم علی,0
محمد امین,0
خوار,0
قریب اله,0
بهرامقلیچ,0
آی ناز,1
گلخندر,1
الاله,0
شمسی بیگم,1
ابوصالح,0
عبدل فتاح,0
اتحاد,0
اکرم الملوک,1
فر نگیز,1
جهان پهلوان,0
بی بی حوا,1
تفانگل,0
عبدالوکیل,0
زارعی,0
پرزغلی,0
تاج محمد,0
شاکرم,0
میر داماد,0
محمد نبی,0
محفوظ الله,0
فرهانه,0
شهنا ز,1
بزک,0
نا هید,1
معرفت الله,0
میر حیدر,0
راحیله,1
انورال,1
محستن,0
ر فیع,0
نیک زاد,1
موسی الرضا,0
امیر ماغ,0
متینه,1
ربضا,0
احمد نوید,0
گلثومه,1
بدیع الله,0
ریزه گل,1
خشاریا,0
اطلس,0
کلام اله,0
گلی,1
علی جواد,0
میر هلال,0
پر شنگ,0
جویان,0
رمضانی,0
ندعی,1
النقی,0
سعادتقلی,0
افروز,1
بس گل,1
روقیه,1
مهریار,1
زلفا,1
غریب,0
بهی رخ,1
علی میزا,0
کلام الله,0
بهزاد رضا,0
طافیه,0
داریا,1
می خانم,1
بدرالملوک,1
محمدعظیم,0
فواعد,0
آ کو,0
پارس,0
امیر هومن,0
آقچه گل,1
زکریسانو,0
مولد,0
آروق,0
اتنه,1
شهلا زمانی,1
هبت اله,0
زیرک,0
منظر,0
اتک,0
شاکر,0
بریوش,1
آذرنوش,1
عبدلی,0
رقیه سلطان,1
شاهمروت,0
محررم,0
ایتا,0
میلاد,0
خدا یار,0
عاصیه,1
بی بی بس,1
سوگل,1
قربان گلدی,0
صیفی اله,0
زهرا,1
ماه آرا,1
سخر,0
ناجیا,1
صبحان,0
مهلقا,1
الا بخش,0
علیرام,0
گدا علی,0
محمد ابراهیمی,0
سورناز,1
عراز بردی,1
خاطره,0
سرذار,0
فرخ لقل,0
صمد حسن,0
بی بی حلیم,1
عل رضا,0
کاکا جان,0
ترو سکه,1
محمد آدینه,0
عباس رمرودی,0
شا زاده,0
لیرضا,0
رویا,1
مولوک,0
مجثبی,0
یلدا,1
شکرخدا,0
عبدالقایم,0
ضزغام,0
بوذر جمهور,0
ییعقوب,0
بیوگ خانم,1
حدثیه,1
ننه لر,1
دوشیزه,1
ادیسون,0
لشکر,0
امین رضا,0
براط علی,0
عاشور قلی,0
محمدامید,0
فوضیه,1
محدد علی,0
ثروت,1
خوشروز خانم,1
شمس الاه,0
جهنگیر,0
نسسیم,1
نوشن,0
بنیا مین,0
زینت السادت,1
جان سلطان,1
نعمعیم,0
طاغن دردی,0
غالب,0
عبدالحی,0
آشرمحمد,0
نورسلطان,0
کاظمیه,0
گل اتون,1
مال الله,0
انوشیروان,0
بالامحمد,0
قدوس,0
چاسب,0
محمد فانح,0
ذری,1
فاطمهخ,1
شاهنده,0
مر حمت,1
شمس الملوک,1
گلابتن,1
علی نعمت,0
مشک عنبر,1
نوید رضا,0
میر محبوب,0
خالدیه,1
خالص,1
منبراعظم,1
ازبر,0
گل ناز,1
زینالابدین,0
داود شاه,0
بصیرت,0
تمام تاج,1
محمحد حسین,0
محمدکاظم,0
محمدقلی,0
گلثوم,1
میدیا,1
یزدان قلی,0
عقیق ال,0
میرجابر,0
روناس,1
رونالد,0
جماالدین,0
سعیداحمد,0
فیزوز,1
محمد ذکریا,0
نبیه,0
شفیعه,0
مرزوق,0
حلیمه بی بی,1
پوپک,1
علی رمضان,0
الایار,0
انعامعلی,0
میذ حسین,0
سالین,1
اوسط,0
قطور,0
وفاالدین,0
میر عبدالوهاب,0
نریما,1
صحراب,0
امین الاه,0
شابندر,0
خمیس,0
پرروانه,1
فربان محمد,0
سارمن,0
بهشنه,1
فخری ناز,1
بتول,1
رحمدل,0
ماید,1
بهادر,0
سبرایل,0
میرایوب,0
اسمییل,0
آغا بیگم,0
فاروپ,0
سیماء,1
نظر محمد,0
صد اله,0
اشکی,0
صگر,0
مارلیس,1
شکر,1
ارشد,0
رضا طرهانی,0
علی رجب,0
اقول بابک,0
تاجور,1
یا و ر,0
رزم گار,0
سابر,0
فرنگیس,1
حاجی حسن,0
اوح الله,0
صفت علی,0
اقاشاه,0
تموچین,1
هاشمیه,1
کی منش,0
شیبو,0
انزلیه,0
میر محمحد علی,0
جمعه گلدی,1
ضغرا,1
روناک ال,1
میر معین الدین,0
رویوف,0
امیر اله داد,0
ضیاالدین,0
خیر گرد,0
شرافت اله,0
انیسه,1
گل امیر,0
نویدرضا,0
صیف علی,0
هدیه,1
امیرجواد,0
ماری,1
نوزیتا,0
اکبررضا,0
مصطغی,0
رامتین,0
سیابخش,0
عبدعلی,0
بالا خانوم,1
ایاد,0
فاطمه ال,1
شهین دخت,1
مام بخش,0
مازیا ر,0
تیغ علی,0
سینور,0
منیژره,1
گوکجه,1
نرجس بیگم,1
ابوا لحسن,0
جبار قلیچ,0
حمیداله,0
بی بی نیره,1
عبدالقادر,0
شهربانو بیگم,1
سلمه,1
نباتعلی,0
شاه دوست,0
شاه صف,0
سیما ال,1
سرمیان,0
فرضیه,1
محبوب خانم,1
عبد الباسط,0
یدا له,0
زین العابدینی,0
روزان,1
پورداد,0
مهرابه,1
ابک,0
حبیب رضا,0
باجی گل,0
مدنی,0
سیاست,0
قدمخیز,0
سیرخ,0
مرآت,0
سلطانعلی,0
سراج,0
علی ضا,0
شهرزا د,0
گل ویردی,1
مه بانو,1
میراسدله,0
علی بخش,0
عطای,0
نر گس بی بی,1
لایه,1
مقدسه,1
تهماسب,0
عاشور,0
دوستمحمد,0
مرجلن,1
دیانوش,0
سرید,0
بهرام علی,0
آویشن,1
اکرم بانو,1
ر ضا,0
فاراب,0
دادمولا,0
اصغر قلی,0
میر رسرل,0
آمیتا,1
ولی احمد,0
ناسو,0
عزیز نظر,0
خان اوغلان,0
شیرحسین,0
طا هره,1
امان بس,0
سیف پور,0
عبداخیر,0
بردی نیاز,0
سهل مهدی,0
خباط,0
صاحبی,1
سقیه,1
یاقوت,0
حالت نظر,0
سرافراز,0
رفیعلی,0
مکامه,1
نساء,1
صاحب دولت,1
جهان افروز,1
سبکیه,0
سلمانعلی,0
شمزیزن,0
شهراد,0
میران,0
عبدل واحد,0
مظفر علی,0
میخک,1
هوسنگ,0
جلا ل الدین,0
زردین,0
کیو ان,0
رجا,0
رییسه,1
محمد جبر,0
حداد,0
زینب بیگم,1
علی صالحی,0
سعادت,1
زرملک,1
